no	topic	soal	pilihan_1	pilihan_2	pilihan_3	pilihan_4	jawaban
1	Introduction to Cybersecurity	Cybersecurity is the ongoing effort to protect individuals, organizations and governments from digital attacks by protecting networked systems and data from unauthorized use or harm.  What level of cyber protection does each of the following factors require?  Your online identity	Government	Personal	Organizational		2
2	Introduction to Cybersecurity	Cybersecurity is the ongoing effort to protect individuals, organizations and governments from digital attacks by protecting networked systems and data from unauthorized use or harm.  What level of cyber protection does each of the following factors require?  A customer database	Government	Personal	Organizational		3
3	Introduction to Cybersecurity	Cybersecurity is the ongoing effort to protect individuals, organizations and governments from digital attacks by protecting networked systems and data from unauthorized use or harm.  What level of cyber protection does each of the following factors require?  Economic stabilty	Government	Personal	Organizational		1
4	Introduction to Cybersecurity	An individual user profile on a social network site is an example of an ... identity	Online	Offline			1
5	Introduction to Cybersecurity	Your neighbor tells you that they don't have an online identity. They have no social media accounts and only use the Internet to browse. Is your neighbor right?	Yes	No			2
6	Introduction to Cybersecurity	Which of the following pieces of information would be classified as personal data?  Select three correct answers	Social security number	Weather data	Laptop brand	Job title	1
7	Introduction to Cybersecurity	Which of the following methods can be used to ensure confidentiality of information?	Backup	Version control	Data encryption	Weak password	3
8	Introduction to Cybersecurity	Why might internal security threats cause greater damage to an organization than external security threats?	Internal users have better hacking skills	Internal users have direct access to the infrastructure devices	Internal users can access the organizational data without authentication	Internal users can access the infrastructure devices through the Internet	2
9	Introduction to Cybersecurity	Which of the following is a key motivation of a white hat attacker?	Taking advantage of any vulnerability for illegal personal gain	Fine tuning network devices to improve their performance and efficiency	Studying operating systems of various platforms to develop a new system	Discovering weaknesses of networks and systems to improve the security level of these systems	4
10	Introduction to Cybersecurity	...  is the use of technology to penetrate and attack another nation’s computer systems and networks in an effort to cause damage or disrupt services, such as shutting down a power grid.	Cyberware	Cyberterrorism	A cyber attack	A cyber campaign	1
11	Introduction to Cybersecurity	Which of the statements correctly describes cybersecurity?	Cybersecurity is the ongoing effort to protect individuals, organizations and governments from digital attacks	Cybersecurity is the ongoing effort to protect individuals, organizations and governments from crimes that happen only in cyberspace	Cybersecurity is the ongoing effort to protect computers, networks and data from malicious attacks		1
12	Attacks, Concepts and Techniques	What type of attack allows an attacker to use a brute-force approach?	Social engineering	Password cracking	Denial of service	Packet sniffing	2
13	Attacks, Concepts and Techniques	A set of changes done to any program or application with the aim of updating, fixing or improving it is often referred to as what?	A hack	A patch	An install	A fix	2
14	Attacks, Concepts and Techniques	What do you call a program written to take advantage of a known security vulnerability?	An exploit	Antivirus	A firewall	A software update	1
15	Attacks, Concepts and Techniques	Securing physical access to target equipment is an organization’s best defense against a cyber attack.' Is this true or false?	TRUE	FALSE			1
16	Attacks, Concepts and Techniques	Can you identify the software vulnerability from the following descriptions?  Occurs through the improper use of practices that manage equipment, data or applications	Buffer Overflow	Race Condition	Access Control		3
17	Attacks, Concepts and Techniques	Can you identify the software vulnerability from the following descriptions?  Occurs when data is written beyond the limits of memory areas that are allocated to an application	Buffer Overflow	Race Condition	Access Control		1
18	Attacks, Concepts and Techniques	Can you identify the software vulnerability from the following descriptions?  Occurs when an ordered or timed set of processes is disrupted or altered by an exploit	Buffer Overflow	Race Condition	Access Control		2
