no	sub_topic	title	content	detail_content	link_1	link_2	link_3	link_4	link_5	link_6	link_7	link_8	link_9	link_10	link_11	link_12	link_13	link_14	link_15	link_16	link_17	link_18	link_19	link_20
71	Welcome to Linux Unhatched	Welcome!	Hello, and welcome to the NDG Linux Unhatched Module! We are very excited to offer you this short introduction to the world of Linux. Before you get started, we would like to take the opportunity to explain the intent and scope of this module.  Do not be concerned if you have little or no Linux experience. This module is designed as an introduction for beginning learners without previous Linux training. If you find this material useful, you may consider continuing with our NDG Linux Essentials or NDG Introduction to Linux courses to build additional knowledge. Additional information regarding these courses can be found at the end of this module.  As you may already be aware, the Linux kernel has found its way into an incredible number of diverse systems. It can now be found in everything from automobiles to rockets, watches to televisions, and netbooks to the fastest supercomputers. Linux only accounts for a relatively small percentage of the operating systems found on desktop computers, but has gained widespread use in servers, Internet of Things (IoT) devices, networking equipment, smartphones, and many other devices you may not think of as even being computers. From the home router providing your Internet connection to the server this course is hosted on, it is likely that multiple Linux powered devices are currently enabling you to read this page.  We hope that you find the NDG Linux Unhatched Module helpful. Congratulations on taking your first steps into the world of Linux!																					
72	Welcome to Linux Unhatched	Why Learn Linux?	Linux skills are needed for many IT professional tracks. For example, knowledge of basic Linux commands is a prerequisite for IT certification programs like the popular Cisco Certified CyberOps Associate certification. To learn more about how Linux applies to Cisco Certified CyberOps Associate, visit the section at the end of this course called Linux for Cisco Certified CyberOps Associate.  What Is Linux? Linux is operating system software that runs on a hardware computer system. An operating system is software that allows other programs like word processors and web browsers to be installed and run on a computer.  Who can use linux You may have heard of Linux and thought that only technologically advanced individuals are using it for programming, developing, or maybe even hacking! Although it is true that many techies use Linux, that doesn’t mean Linux is too difficult to learn or isn’t useful for beginners.  IT professions that require knowledge of Linux skills Network Engineering - Network engineers are responsible for managing the network computers use to transmit data. Knowledge of Linux is critical for network engineers since more than half of the world’s servers are Linux-based.  - Cybersecurity - Cybersecurity professionals monitor and investigate security threats to data on systems. Linux is used in cybersecurity to carry out system penetration testing and assess the vulnerability of a system. - Developing/Programming - Developers and programmers design computer applications. The Linux command-line allows developers and programmers to script; a function that allows a user to put commands together to execute complex actions on a computer.  - Data Analysis - Data analysts and scientists sort and analyze data sets to find patterns in order to report and predict trends and behavior. 																					
73	Welcome to Linux Unhatched	Before You Get Started	Tour If you have never used an NDG Online course before, get familiar with our interface by taking the tour. You can access it at any time using the Help menu in the upper right hand corner.  gambar 1  Objectives This content aligns to various LPI Linux Essentials Exam 010-160 objectives. Please note that Linux Unhatched is designed to be an exploratory module for beginners which aligns to various LPI Linux Essentials objectives, but is not designed to be a comprehensive exam preparation module. For more information click on the Objectives tab:  gambar 2  Virtual Machines To the right of the content you've been provided a Linux virtual machine to practice your skills on. All of the examples in this course were created on our machines and we encourage you to try them out! Be aware that the output you see on the command line interface will not always match the example in content exactly. gambar 3		https://ndg-content-dev.s3.amazonaws.com/media/images/unhatched/1_1.png	https://ndg-content-dev.s3.amazonaws.com/media/images/unhatched/1_3.png 	https://ndg-content-dev.s3.amazonaws.com/media/images/unhatched/VM_Intro.png																	
74	Navigating Basic Command Syntax	Basic Command Syntax	 A command is a software program that when executed on the CLI (command line interface), performs an action on the computer. When you type in a command, a process is run by the operating system that can read input, manipulate data and produce output. A command runs a process on the operating system, which then causes the computer to perform a job.  To execute a command, the first step is to type the name of the command. Click in the terminal on the right. Type ls (lowercase letters L and S) and hit Enter. The result should resemble the example below: gambar 1  The name of the command is often based on what it does or what the developer who created the command thinks will best describe the command's function. For example, the ls command displays a listing of information about files. Associating the name of the command with something mnemonic for what it does may help you to remember commands more easily.  Most commands follow a simple pattern of syntax:  command [options…] [arguments…] In other words, you type a command, followed by any options and/or arguments before pressing the Enter key. Typically options alter the behavior of the command and arguments are items or values for the command to act upon. Although there are some commands in Linux that aren’t entirely consistent with this syntax, most commands use this syntax or something similar.	[     {         "title": "Consider This",         "content": "Every part of the command is normally case-sensitive, so LS is incorrect and will fail, but ls is correct and will execute. gambar 2"     } ]	https://drive.google.com/file/d/1dyV28rqnJHT8dxeVLDWRxU301PbhJ8La/view?usp=share_link	https://drive.google.com/file/d/11IbYpZj_hB963TBLs-Xie1DSO-gnFiaC/view?usp=share_link																		
75	Navigating Basic Command Syntax	Arguments	command [options…] [arguments…] An argument can be used to specify something for the command to act upon. The ls command can be given the name of a directory as an argument, and it will list the contents of that directory. In the next example, the Documents directory will be used as an argument:  gambar 1  The resulting output is a list of files contained with the Documents directory.  Because Linux is open source, there are some interesting secrets that have been added by developers. For example, the aptitude command is a package management tool available on some Linux distributions. This command will accept moo as an argument:  gambar 2 		https://drive.google.com/file/d/1mJZXJZRlB8ZdA3g1hWhMLekY8e3IAMjb/view?usp=share_link	https://drive.google.com/file/d/1hu_7wpHFu4HAN1pWMyTtorDLwmMCvItf/view?usp=share_link																		
76	Navigating Basic Command Syntax	Options	command [options…] [arguments…] Options can be used to alter the behavior of a command. On the previous page, the ls command was used to list the contents of a directory. In the following example, the -l option is provided to the ls command.   Often the character is chosen to be mnemonic for its purpose, like choosing the letter l for long or r for reverse. By default, the ls command prints the results in alphabetical order, so adding the -r option will print the results in reverse alphabetical order.    Multiple options can be used at once, either given as separate options as in -l -r or combined like -lr. The output of all of these examples would be the same: ls -l -r ls -rl ls -lr  As explained above, -l gives a long listing format while -r reverses the listing. The result of using both options is a long listing given in reverse order:  gambar 1  Ultimately, commands can use many combinations of options and arguments. The possibilities for each command will be unique. Remember the aptitude easter egg! It is possible to alter the behavior of this command using options. See what happens when the -v (verbose) option is added:  gambar 2  By combining multiple -v options, we can get a variety of responses: gambar 3		https://drive.google.com/file/d/1kRyuE6YiCMJjhITyCJnFWUQ-JXCv-iew/view?usp=share_link	https://drive.google.com/file/d/1cqmwaoZo_t0GdTA6nqI8mnq_AZohNHIP/view?usp=share_link	https://drive.google.com/file/d/1b3g6PTebSl6pADxvIAlFAYeaGBUkw8MW/view?usp=share_link																	
77	Printing Working Directory	Printing Working Directory	In order to discover where you are currently located within the filesystem, the pwd command can be used. The pwd command prints the working directory, your current location within the filesystem:  pwd [OPTIONS]  The output of the above command indicates that the user is currently in their home folder, shown in the filesystem below. gambar 1 	[     {         "title": "Consider This",         "content": "Don't turn on your printer just yet! In the early days of computing the command line output would be sent to physical printers. This method was replaced by video displays which could display information more quickly. We still use the word print even though the output is just being displayed on your screen. "     },  {         "title": "Consider This",         "content": "Notice our virtual machines employ a prompt that displays the current working directory, emphasized with the color blue. In the first prompt above, the blue ~ is equivalent to /home/sysadmin, representing the user's home directory. (gambar 2)  After changing directories (we will learn how to do this in the next section), the new location can also be confirmed in the new prompt, again shown in blue. gambar 3"     } ]	https://ndg-content-dev.s3.amazonaws.com/media/images/unhatched/3_1.png	https://drive.google.com/file/d/1dL4LDcwOvCLrr898gH4HyccUEQQPrTvq/view?usp=sharing	https://drive.google.com/file/d/1ffDIwW-mDSKcxc3SIxFiRIjWfXXxfwow/view?usp=share_link																	
78	Changing Directories	Changing Directories	Files are used to store data such as text, graphics and programs. Directories are a type of file used to store other files–they provide a hierarchical organizational structure. The image below shows an abbreviated version of the filesystem structure on the virtual machines. gambar 1  When you start a fresh virtual machine, either by opening the course or after using the reset button, you are logged in as the sysadmin user in your home directory, highlighted below: gambar 2  To navigate the filesystem structure, use the cd (change directory) command to change directories.  cd [options] [path] If you look back at the graphic above, you will see the Documents directory is located within the home directory, where you are currently located. To move to the Documents directory, use it as argument to the cd command: gambar 3  Directories are equivalent to folders on Windows and Mac OS. Like these more popular operating systems, a Linux directory structure has a top level. It is not called "My Computer", but rather the root directory and it is represented by the / character. To move to the root directory, use the / character as the argument to the cd command. gambar 4  The argument to the cd command is more than just the name of a directory, it is actually a path. A path is a list of directories separated by the / character. For example, /home/sysadmin is the path to your home directory: gambar 5  If you think of the filesystem as a map, paths are the step-by-step directions; they can be used to indicate the location of any file within the filesystem. There are two types of paths: absolute and relative. Absolute paths start at the root of the filesystem, relative paths start from your current location.	[     {         "title": "Absolute Paths",         "content": "An absolute path allows you to specify the exact location of a directory. It always starts at the root directory, therefore it always begins with the / character. The path to the home directory /home/sysadminis an absolute path. The path begins at the root / directory, moves into the home directory, and then into the sysadmin directory.   Use this path as an argument to the cd command to move back into the home directory for the sysadmin user. gambar 6  No output means the command succeeded. Go ahead and confirm this using the pwd command: gambar 7 "     },  {         "title": "Relative Paths",         "content": "A relative path gives directions to a file relative to your current location in the filesystem. Relative paths do not start with the / character, they start with the name of a directory. Take another look at the first cd command example. The argument is an example of the simplest relative path: the name of a directory in your current location.  gambar 8   A relative path begins in from with the current directory, however you don't include it in the path. The first step would be to move into the School directory, and then move into the Art directory. Use the / character to separate the directory names and the result School/Art is a relative path from the Documents directory to the Art directory: gambar 9  Use the relative path as an argument to the cd command to move into the Art directory.  cd School/Art "     },  {  "title": "Shortcuts",         "content": " Regardless of which directory you are in, .. always represents one directory higher relative to the current directory, sometimes referred to as the parent directory. cd ..  cd ~  The . Character  Regardless of which directory you are in, the . character always represents your current directory. For the cd this shortcut is not very useful, but it will come in handy for commands covered in subsequent sections.  The ~ Character  The home directory of the current user is represented by the ~ character. As stated above, you always begin as the sysadmin user, whose home is located at /home/sysadmin.  " } ]	https://ndg-content-dev.s3.amazonaws.com/media/images/unhatched/4_1.png	https://ndg-content-dev.s3.amazonaws.com/media/images/unhatched/3_1.png	https://drive.google.com/file/d/1GEmzKCQep1cKTMyIN0LqlO3Vu4Te_whP/view?usp=share_link	https://ndg-content-dev.s3.amazonaws.com/media/images/unhatched/4_3.png	https://ndg-content-dev.s3.amazonaws.com/media/images/unhatched/4_4.png	https://drive.google.com/file/d/1_oQankB8A6buuaRs-9AMIOWp26thzFn2/view?usp=sharing	https://drive.google.com/file/d/1pqCYNYG7dHOPipJLJJwPPRFluSdpyius/view?usp=sharing	https://drive.google.com/file/d/1N7_HJWN-iTXSq4zoq9Y_VUxJrXATuUCh/view?usp=share_link	https://ndg-content-dev.s3.amazonaws.com/media/images/unhatched/4_7.png											
79	Listing Files	Listing Files 	LISTING FILES The ls command is used to list the contents of a directory. You've already seen it used a few times before in examples, but this page will help ensure you are comfortable with its use.  ls [OPTIONS] [FILE]  To learn the details about a file, such as the type of file, the permissions, ownerships or the timestamp, perform a long listing using the -l option to the ls command. Below, a listing of the /var/log directory is used as an example, since it provides a variety of output: gambar 1  Each line corresponds to a file contained within the directory. The information can be broken down into fields separated by spaces.   SORTING By default the output of the ls command is sorted alphabetically by filename. It can sort by other methods as well.  The -t option will sort the files by timestamp: gambar 3   The -S option will sort the files by file size: gambar 4  The -r option will reverse the order of any type of sort. Notice the difference when it is added to the previous example: gambar 5  The numbers in file size field switch from descending to ascending.  Used alone the -r option with list the files in reverse alphabetical order: gambar 6 	[     {         "title": "File Type",         "content": " -rw-r--r-- 1 root   root  18047 Dec 20  2017 alternatives.log                     drwxr-x--- 2 root   adm    4096 Dec 20  2017 apache2    The first field actually contains ten characters, where the first character indicates the type of file and the next nine specify permissions. The file types are: gambar 2  The first file alternatives.log is a regular file -, while the second file apache2 is a directory d. "     },  {         "title": "Permissions",         "content": " drwxr-xr-x 2 root   root   4096 Apr 11  2014 upstart Permissions indicate how certain users can access a file. Keep reading to learn more about permissions. "     },  {"title": "Hard Link Count", "content": " -rw-r----- 1 syslog adm    1346 Oct  2 22:17 auth.log This number indicates how many hard links point to this file. Hard links a "},  { "title": "User Owner", "content": " -rw-r----- 1 syslog adm     106 Oct  2 19:57 kern.log User syslog owns this file. Every time a file is created, the ownership is automatically assigned to the user who created it. " },  { "title": "Group Owner", "content": " -rw-rw-r-- 1 root   utmp 292584 Oct  2 19:57 lastlog Indicates which group owns this file " },  { "title": "File Size", "content": " -rw-r----- 1 syslog adm   19573 Oct  2 22:57 syslog Directories and larger files may be shown in kilobytes since displaying their size in bytes would present a very large number. Therefore, in the case of a directory, it might actually be a multiple of the block size used for the file system. Block size is the size of a series of data stored in the filesystem. " },  { "title": "Timestamp", "content": " drwxr-xr-x 2 root   root   4096 Dec  7  2017 fsck This indicates the time that the file's contents were last modified. " },  { "title": "Filename", "content": " -rw-r--r-- 1 root   root  47816 Dec  7  2017 bootstrap.log The final field contains the name of the file or directory. " }, ]	https://drive.google.com/file/d/1Lmf4ISL4_1kqTcICF7eqvFVEC7R1c5Tx/view?usp=sharing	https://drive.google.com/file/d/1cQ8RmXBFJ6VtnmNfDQnepgioq2bW676_/view?usp=sharing	https://drive.google.com/file/d/1CsvP0n2LlSL6grPZdUIZFACPnenXJ_Mu/view?usp=share_link	https://drive.google.com/file/d/1VOP1oT-Vwi9hlMCCcxmCgo9BzOcvSPZS/view?usp=sharing	https://drive.google.com/file/d/1qiweAUHmzjfMSQE0cCwuF3oJdWxpNbtZ/view?usp=sharing	https://drive.google.com/file/d/1bYgDx3GLNwedi5Ll83it8nfswrMmrFPc/view?usp=sharing														
80	Administrative Access	Administrative Access	ADMINISTRATIVE ACCESS There are many Linux commands which deal with sensitive information like passwords, system hardware, or otherwise operate under other exceptional circumstances. Preventing regular users from executing these commands helps to protect the system. Logging in as the root user provides administrative access, allowing for the execution of some of the privileged commands.  THE su COMMAND  su OPTIONS USERNAME  The su command allows you to temporarily act as a different user. It does this by creating a new shell. The shell is simply a text input console that lets you type in commands. By default, if a user account is not specified, the su command will open a new shell as the root user, which provides administrative privileges.  After executing the su command, a password is required. On our virtual machines, the password for both the root and sysadmin accounts is netlab123. If you ever forget, it is displayed every time a new virtual machine is started. As a security measure, the password will not be visible as it is typed. gambar 1  Note the command prompt has changed to reflect that you are now logged in as the root user. To logout and return to the sysadmin account, use the exit command. Note the prompt changes back: gambar 2  To avoid executing any sensitive commands, we’ve configure the Steam Locomotive command, the sl command, to require administrative access. If the command is executed as sysadmin, it fails: gambar 3  Use the su command to switch to the root account and execute the sl command with administrative access: gambar 4  Use the exit command again to return to the sysadmin account. gambar 2  THE sudo COMMAND  sudo [OPTIONS] COMMAND  The sudo command allows a user to execute a command as another user without creating a new shell. Instead, to execute a command with administrative privileges, use it as an argument to the sudo command. Like the su command, the sudo command assumes by default the root user account should be used to execute commands.  Execute the sl command as the root user by putting sudo in front of it: gambar 5  Once the command has completed, notice the prompt has not changed, you are still logged in as sysadmin. The sudo command only provides administrative access for the execution of the specified command. This is an advantage as it reduces the risk that a user accidentally executes a command as root. The intention to execute a command is clear; the command is executed as root if prefixed with the sudo command. Otherwise, the command is executed as a regular user.	[     {         "title": "Follow Along",         "content": " Utilizing the login shell option is recommended, as the login shell fully configures the new shell with the settings of the new user. This option can be specified one of three ways:  su - su -l su --login  "     } ]	https://drive.google.com/file/d/18ZpERsmYGOHS1W7jxTVdwZZ9aL4kdsHF/view?usp=sharing	https://drive.google.com/file/d/1uvxcCABDqR3SSzOuXU1Bmeyyl0Iv9GNH/view?usp=share_link	https://drive.google.com/file/d/1T1USP0ojCQLDn9tQueHWQ5W6ic-3d8AO/view?usp=sharing	https://drive.google.com/file/d/14F9s7T3YhJnojPRLoJhJsui330lvg6hx/view?usp=sharing	https://drive.google.com/file/d/1TkIG3miR1BcFY4pQvQ5xHn3Cnh0ROWsd/view?usp=share_link															
